filename	Crack Length (cm)
1	117
2	82
3	83
4	87
5	82
6	109
7	89
8	155
9	104
10	247
11	64
12	122
13	65
14	58
15	80
16	81
17	159
18	85
19	91
20	90
21	148
22	80
23	81
24	94
25	69
26	75
27	85
28	83
29	271
30	160
31	85
32	156
33	174
34	109
35	99
36	59
37	110
38	82
39	113
40	84
41	84
42	184
43	104
44	97
45	94
46	85
47	76
48	84
49	83
50	94
51	84
52	80
53	82
54	81
55	110
56	82
57	99
58	79
59	78
60	77
61	81
62	85
63	84
64	80
65	84
66	96
67	101
68	91
69	79
70	80
71	82
72	77
73	82
74	84
75	83
76	84
77	92
78	78
79	89
80	80
81	80
82	83
83	85
84	88
85	104
86	80
87	88
88	83
89	84
90	82
91	95
92	93
93	87
94	109
95	66
96	74
97	124
98	76
99	104
100	109
101	78
102	155
103	114
104	134
105	79
106	80
107	107
108	136
109	113
110	82
111	99
112	112
113	80
114	80
115	74
116	79
117	113
118	107
119	122
120	108
121	49
122	87
123	86
124	84
125	79
126	89
127	139
128	58
129	98
130	66
